"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Bastian SCHWEINSTEIGER ","GER"," 56'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"2","PETIT ","POR"," 60' Own goal","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"3","Bastian SCHWEINSTEIGER ","GER"," 78'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"4","NUNO GOMES ","POR"," 88'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
