"","X","Player","Team","Time","teams","score","match","date","venue","attendance","Timen"
"1",1,"Philipp LAHM ","GER"," 6'","Germany - Costa Rica","4:2 (2:1)",1,"9 June 2006"," Munich  / Allianz Arena",66000,6
"2",30,"Hernan CRESPO ","ARG"," 24'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)",5,"0 June 2006"," Hamburg  / FIFA World Cup Stadium, Hamburg",49480,24
"3",62,"Andrea PIRLO ","ITA"," 40'","Italy - Ghana","2:0 (1:0)",9,"2 June 2006"," Hanover  / FIFA World Cup Stadium, Hanover",43000,40
"4",76,"KAKA ","BRA"," 44'","Brazil - Croatia","1:0 (1:0)",11,"13 June 2006"," Berlin  / Olympiastadion",72000,44
"5",105,"XABI ALONSO ","ESP"," 13'","Spain - Ukraine","4:0 (2:0)",15,"14 June 2006"," Leipzig  / Zentralstadion",43000,13
"6",9,"Oliver NEUVILLE ","GER"," 90'+1","Germany - Poland","1:0 (0:0)",17,"14 June 2006"," Dortmund  / FIFA World Cup Stadium, Dortmund",65000,90
"7",34,"Maxi RODRIGUEZ ","ARG"," 6'","Argentina - Serbia and Montenegro","6:0 (3:0)",21,"16 June 2006"," Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen",52000,6
"8",55,"Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)",25,"17 June 2006"," Kaiserslautern  / Fritz-Walter-Stadion",46000,22
"9",81,"ADRIANO ","BRA"," 49'","Brazil - Australia","2:0 (0:0)",27,"18 June 2006"," Munich  / Allianz Arena",66000,49
"10",114,"RAUL ","ESP"," 71'","Spain - Tunisia","3:1 (0:1)",31,"19 June 2006"," Stuttgart  / Gottlieb-Daimler-Stadion",52000,71
"11",13,"Miroslav KLOSE ","GER"," 4'","Ecuador - Germany","0:3 (0:2)",33,"20 June 2006"," Berlin  / Olympiastadion",72000,4
"12",71,"Marco MATERAZZI ","ITA"," 26'","Czech Republic - Italy","0:2 (0:1)",41,"22 June 2006"," Hamburg  / FIFA World Cup Stadium, Hamburg",50000,26
"13",85,"RONALDO ","BRA"," 45'+1","Japan - Brazil","1:4 (1:1)",43,"22 June 2006"," Dortmund  / FIFA World Cup Stadium, Dortmund",65000,45
"14",121,"JUANITO ","ESP"," 36'","Saudi Arabia - Spain","0:1 (0:1)",47,"23 June 2006"," Kaiserslautern  / Fritz-Walter-Stadion",46000,36
"15",123,"Lukas PODOLSKI ","GER"," 4'","Germany - Sweden","2:0 (2:0)",49,"24 June 2006"," Munich  / Allianz Arena",66000,4
"16",126,"Hernan CRESPO ","ARG"," 10'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)",50,"24 June 2006"," Leipzig  / Zentralstadion",43000,10
"17",130,"Francesco TOTTI ","ITA"," 90'+5 Penalty goal","Italy - Australia","1:0 (0:0)",53,"26 June 2006"," Kaiserslautern  / Fritz-Walter-Stadion",46000,90
"18",132,"RONALDO ","BRA"," 5'","Brazil - Ghana","3:0 (2:0)",55,"27 June 2006"," Dortmund  / FIFA World Cup Stadium, Dortmund",65000,5
"19",135,"Roberto AYALA ","ARG"," 49'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO",57,"30 June 2006"," Berlin  / Olympiastadion",72000,49
"20",137,"Gianluca ZAMBROTTA ","ITA"," 6'","Italy - Ukraine","3:0 (1:0)",58,"30 June 2006"," Hamburg  / FIFA World Cup Stadium, Hamburg",50000,6
"21",142,"Fabio GROSSO ","ITA"," 119'","Germany - Italy","0:2 a.e.t.",61,"04 July 2006"," Dortmund  / FIFA World Cup Stadium, Dortmund",65000,119
"22",147,"Bastian SCHWEINSTEIGER ","GER"," 56'","Germany - Portugal","3:1 (0:0)",63,"08 July 2006"," Stuttgart  / Gottlieb-Daimler-Stadion",52000,56
"23",146,"Marco MATERAZZI ","ITA"," 19'","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO",64,"09 July 2006"," Berlin  / Olympiastadion",69000,19
