"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Zinedine ZIDANE ","FRA"," 7' Penalty goal","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO","MatchDateTimeVenue / StadiumAttendance6409 July 2006 20:00Berlin  / Olympiastadion69000","64","09 July 2006"," ","Berlin  / Olympiastadion69000"
"2","Marco MATERAZZI ","ITA"," 19'","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO","MatchDateTimeVenue / StadiumAttendance6409 July 2006 20:00Berlin  / Olympiastadion69000","64","09 July 2006"," ","Berlin  / Olympiastadion69000"
