"","X","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance","Timen"
"1",1,"Philipp LAHM ","GER"," 6'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000",1,"9 June 2006",NA,"Munich  / Allianz Arena66000",6
"2",7,"Carlos TENORIO ","ECU"," 24'","Poland - Ecuador","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance209 June 2006 21:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",2,"9 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",24
"3",19,"Carlos GAMARRA ","PAR"," 3' Own goal","England - Paraguay","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance310 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",3,"0 June 2006",NA,"Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",3
"4",20,NA,NA,NA,"Trinidad and Tobago - Sweden","0:0","MatchDateTimeVenue / StadiumAttendance410 June 2006 18:00Dortmund  / FIFA World Cup Stadium, Dortmund62959",4,"0 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund62959",NA
"5",30,"Hernan CRESPO ","ARG"," 24'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480",5,"0 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg49480",24
"6",33,"Arjen ROBBEN ","NED"," 18'","Serbia and Montenegro - Netherlands","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance611 June 2006 15:00Leipzig  / Red Bull Arena43000",6,"1 June 2006",NA,"Leipzig  / Red Bull Arena43000",18
"7",49,"Omar BRAVO ","MEX"," 28'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000",7,"1 June 2006",NA,"Nuremberg  / easyCredit-Stadion41000",28
"8",53,"PAULETA ","POR"," 4'","Angola - Portugal","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance811 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000",8,"1 June 2006",NA,"Cologne  / FIFA World Cup Stadium, Cologne45000",4
"9",62,"Andrea PIRLO ","ITA"," 40'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000",9,"2 June 2006",NA,"Hanover  / FIFA World Cup Stadium, Hanover43000",40
"10",64,"Jan KOLLER ","CZE"," 5'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",10,"12 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",5
"11",76,"KAKA ","BRA"," 44'","Brazil - Croatia","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1113 June 2006 21:00Berlin  / Olympiastadion72000",11,"13 June 2006",NA,"Berlin  / Olympiastadion72000",44
"12",77,"Shunsuke NAKAMURA ","JPN"," 26'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000",12,"12 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",26
"13",93,NA,NA,NA,"France - Switzerland","0:0","MatchDateTimeVenue / StadiumAttendance1313 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000",13,"13 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",NA
"14",94,NA,NA,NA,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",14,"13 June 2006",NA,"Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",NA
"15",105,"XABI ALONSO ","ESP"," 13'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000",15,"14 June 2006",NA,"Leipzig  / Red Bull Arena43000",13
"16",109,"Zied JAZIRI ","TUN"," 23'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000",16,"14 June 2006",NA,"Munich  / Allianz Arena66000",23
"17",9,"Oliver NEUVILLE ","GER"," 90'+1","Germany - Poland","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance1714 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",17,"14 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",90
"18",10,"Carlos TENORIO ","ECU"," 8'","Ecuador - Costa Rica","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1815 June 2006 15:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",18,"15 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",8
"19",21,"Peter CROUCH ","ENG"," 83'","England - Trinidad and Tobago","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance1915 June 2006 18:00Nuremberg  / easyCredit-Stadion41000",19,"15 June 2006",NA,"Nuremberg  / easyCredit-Stadion41000",83
"20",23,"Fredrik LJUNGBERG ","SWE"," 89'","Sweden - Paraguay","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2015 June 2006 21:00Berlin  / Olympiastadion72000",20,"15 June 2006",NA,"Berlin  / Olympiastadion72000",89
"21",34,"Maxi RODRIGUEZ ","ARG"," 6'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",6
"22",40,"Robin VAN PERSIE ","NED"," 23'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000",22,"16 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",23
"23",54,NA,NA,NA,"Mexico - Angola","0:0","MatchDateTimeVenue / StadiumAttendance2316 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000",23,"16 June 2006",NA,"Hanover  / FIFA World Cup Stadium, Hanover43000",NA
"24",55,"Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000",25,"17 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",22
"25",69,"Asamoah GYAN ","GHA"," 2'","Czech Republic - Ghana","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance2617 June 2006 18:00Cologne  / FIFA World Cup Stadium, Cologne45000",26,"17 June 2006",NA,"Cologne  / FIFA World Cup Stadium, Cologne45000",2
"26",81,"ADRIANO ","BRA"," 49'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000",27,"18 June 2006",NA,"Munich  / Allianz Arena66000",49
"27",83,NA,NA,NA,"Japan - Croatia","0:0","MatchDateTimeVenue / StadiumAttendance2818 June 2006 15:00Nuremberg  / easyCredit-Stadion41000",28,"18 June 2006",NA,"Nuremberg  / easyCredit-Stadion41000",NA
"28",97,NA,NA,NA,"France - Korea Republic","1:1 (1:0)","MatchDateTimeVenue / StadiumAttendance2918 June 2006 21:00Leipzig  / Red Bull Arena43000",29,"18 June 2006",NA,"Leipzig  / Red Bull Arena43000",NA
"29",99,NA,NA,NA,"Togo - Switzerland","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3019 June 2006 15:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",30,"19 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",NA
"30",113,"Jaouhar MNARI ","TUN"," 8'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",31,"19 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",8
"31",117,"Andriy RUSOL ","UKR"," 4'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",32,"19 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",4
"32",13,"Miroslav KLOSE ","GER"," 4'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000",33,"20 June 2006",NA,"Berlin  / Olympiastadion72000",4
"33",16,"Ronald GOMEZ ","CRC"," 25'","Costa Rica - Poland","1:2 (1:1)","MatchDateTimeVenue / StadiumAttendance3420 June 2006 16:00Hanover  / FIFA World Cup Stadium, Hanover43000",34,"20 June 2006",NA,"Hanover  / FIFA World Cup Stadium, Hanover43000",25
"34",24,"Joe COLE ","ENG"," 34'","Sweden - England","2:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3520 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000",35,"20 June 2006",NA,"Cologne  / FIFA World Cup Stadium, Cologne45000",34
"35",28,"Brent SANCHO ","TRI"," 25' Own goal","Paraguay - Trinidad and Tobago","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance3620 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000",36,"20 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",25
"36",43,NA,NA,NA,"Netherlands - Argentina","0:0","MatchDateTimeVenue / StadiumAttendance3721 June 2006 21:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",37,"21 June 2006",NA,"Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",NA
"37",44,"Nikola ZIGIC ","SCG"," 10'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000",38,"21 June 2006",NA,"Munich  / Allianz Arena66000",10
"38",57,"MANICHE ","POR"," 6'","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",39,"21 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",6
"39",60,"ABOU TARIKA ","ANG"," 60'","Iran - Angola","1:1 (0:0)","MatchDateTimeVenue / StadiumAttendance4021 June 2006 16:00Leipzig  / Red Bull Arena38000",40,"21 June 2006",NA,"Leipzig  / Red Bull Arena38000",60
"40",71,"Marco MATERAZZI ","ITA"," 26'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",41,"22 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",26
"41",73,"Haminu DRAMAN ","GHA"," 22'","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000",42,"22 June 2006",NA,"Nuremberg  / easyCredit-Stadion41000",22
"42",84,"Keiji TAMADA ","JPN"," 34'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",43,"22 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",34
"43",89,"Darijo SRNA ","CRO"," 2'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",44,"22 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",2
"44",101,NA,NA,NA,"Togo - France","0:2 (0:0)","MatchDateTimeVenue / StadiumAttendance4523 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000",45,"23 June 2006",NA,"Cologne  / FIFA World Cup Stadium, Cologne45000",NA
"45",103,NA,NA,NA,"Switzerland - Korea Republic","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance4623 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000",46,"23 June 2006",NA,"Hanover  / FIFA World Cup Stadium, Hanover43000",NA
"46",121,"JUANITO ","ESP"," 36'","Saudi Arabia - Spain","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance4723 June 2006 16:00Kaiserslautern  / Fritz-Walter-Stadion46000",47,"23 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",36
"47",122,"Andriy SHEVCHENKO ","UKR"," 70' Penalty goal","Ukraine - Tunisia","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance4823 June 2006 16:00Berlin  / Olympiastadion72000",48,"23 June 2006",NA,"Berlin  / Olympiastadion72000",70
"48",123,"Lukas PODOLSKI ","GER"," 4'","Germany - Sweden","2:0 (2:0)","MatchDateTimeVenue / StadiumAttendance4924 June 2006 17:00Munich  / Allianz Arena66000",49,"24 June 2006",NA,"Munich  / Allianz Arena66000",4
"49",125,"Rafael MARQUEZ ","MEX"," 6'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)","MatchDateTimeVenue / StadiumAttendance5024 June 2006 21:00Leipzig  / Red Bull Arena43000",50,"24 June 2006",NA,"Leipzig  / Red Bull Arena43000",6
"50",128,"David BECKHAM ","ENG"," 60'","England - Ecuador","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance5125 June 2006 17:00Stuttgart  / Mercedes-Benz Arena52000",51,"25 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",60
"51",129,"MANICHE ","POR"," 23'","Portugal - Netherlands","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5225 June 2006 21:00Nuremberg  / easyCredit-Stadion41000",52,"25 June 2006",NA,"Nuremberg  / easyCredit-Stadion41000",23
"52",130,"Francesco TOTTI ","ITA"," 90'+5 Penalty goal","Italy - Australia","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance5326 June 2006 17:00Kaiserslautern  / Fritz-Walter-Stadion46000",53,"26 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",90
"53",131,NA,NA,NA,"Switzerland - Ukraine","0:0 a.e.t. 0:3 PSO","MatchDateTimeVenue / StadiumAttendance5426 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000",54,"26 June 2006",NA,"Cologne  / FIFA World Cup Stadium, Cologne45000",NA
"54",132,"RONALDO ","BRA"," 5'","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",55,"27 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",5
"55",135,"Roberto AYALA ","ARG"," 49'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000",57,"30 June 2006",NA,"Berlin  / Olympiastadion72000",49
"56",137,"Gianluca ZAMBROTTA ","ITA"," 6'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",58,"30 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",6
"57",140,NA,NA,NA,"England - Portugal","0:0 a.e.t. 1:3 PSO","MatchDateTimeVenue / StadiumAttendance5901 July 2006 17:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",59,"01 July 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",NA
"58",141,"Thierry HENRY ","FRA"," 57'","Brazil - France","0:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6001 July 2006 21:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",60,"01 July 2006",NA,"Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000",57
"59",142,"Fabio GROSSO ","ITA"," 119'","Germany - Italy","0:2 a.e.t.","MatchDateTimeVenue / StadiumAttendance6104 July 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",61,"04 July 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",119
"60",144,"Zinedine ZIDANE ","FRA"," 33' Penalty goal","Portugal - France","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance6205 July 2006 21:00Munich  / Allianz Arena66000",62,"05 July 2006",NA,"Munich  / Allianz Arena66000",33
"61",147,"Bastian SCHWEINSTEIGER ","GER"," 56'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",63,"08 July 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",56
"62",145,"Zinedine ZIDANE ","FRA"," 7' Penalty goal","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO","MatchDateTimeVenue / StadiumAttendance6409 July 2006 20:00Berlin  / Olympiastadion69000",64,"09 July 2006",NA,"Berlin  / Olympiastadion69000",7
