"","X","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance","Timen"
"1",1,"Philipp LAHM ","GER"," 6'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000",1,"9 June 2006",NA,"Munich  / Allianz Arena66000",6
"3",3,"Miroslav KLOSE ","GER"," 17'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000",1,"9 June 2006",NA,"Munich  / Allianz Arena66000",17
"4",4,"Miroslav KLOSE ","GER"," 61'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000",1,"9 June 2006",NA,"Munich  / Allianz Arena66000",61
"6",6,"Torsten FRINGS ","GER"," 87'","Germany - Costa Rica","4:2 (2:1)","MatchDateTimeVenue / StadiumAttendance109 June 2006 18:00Munich  / Allianz Arena66000",1,"9 June 2006",NA,"Munich  / Allianz Arena66000",87
"9",9,"Oliver NEUVILLE ","GER"," 90'+1","Germany - Poland","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance1714 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",17,"14 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",90
"13",13,"Miroslav KLOSE ","GER"," 4'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000",33,"20 June 2006",NA,"Berlin  / Olympiastadion72000",4
"14",14,"Miroslav KLOSE ","GER"," 44'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000",33,"20 June 2006",NA,"Berlin  / Olympiastadion72000",44
"15",15,"Lukas PODOLSKI ","GER"," 57'","Ecuador - Germany","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance3320 June 2006 16:00Berlin  / Olympiastadion72000",33,"20 June 2006",NA,"Berlin  / Olympiastadion72000",57
"30",30,"Hernan CRESPO ","ARG"," 24'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480",5,"0 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg49480",24
"31",31,"Javier SAVIOLA ","ARG"," 38'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480",5,"0 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg49480",38
