"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Hernan CRESPO ","ARG"," 24'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480","5","0 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg49480"
"2","Javier SAVIOLA ","ARG"," 38'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480","5","0 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg49480"
"3","Didier DROGBA ","CIV"," 82'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480","5","0 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg49480"
"4","Arjen ROBBEN ","NED"," 18'","Serbia and Montenegro - Netherlands","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance611 June 2006 15:00Leipzig  / Red Bull Arena43000","6","1 June 2006"," ","Leipzig  / Red Bull Arena43000"
"5","Maxi RODRIGUEZ ","ARG"," 6'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"6","Esteban CAMBIASSO ","ARG"," 31'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"7","Maxi RODRIGUEZ ","ARG"," 41'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"8","Hernan CRESPO ","ARG"," 78'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"9","Carlos TEVEZ ","ARG"," 84'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"10","Lionel MESSI ","ARG"," 88'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"11","Robin VAN PERSIE ","NED"," 23'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","22","16 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"12","Ruud VAN NISTELROOIJ ","NED"," 27'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","22","16 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"13","Bakary KONE ","CIV"," 38'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","22","16 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"14",NA,NA,NA,"Netherlands - Argentina","0:0","MatchDateTimeVenue / StadiumAttendance3721 June 2006 21:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","37","21 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"15","Nikola ZIGIC ","SCG"," 10'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"16"," ","SCG"," 20'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"17","Aruna DINDANE ","CIV"," 37' Penalty goal","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"18","Aruna DINDANE ","CIV"," 67'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"19","Bonaventure KALOU ","CIV"," 86' Penalty goal","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
