"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Roberto AYALA ","ARG"," 49'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000","57","30 June 2006"," ","Berlin  / Olympiastadion72000"
"2","Miroslav KLOSE ","GER"," 80'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000","57","30 June 2006"," ","Berlin  / Olympiastadion72000"
"3","Gianluca ZAMBROTTA ","ITA"," 6'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","58","30 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"4","Luca TONI ","ITA"," 59'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","58","30 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"5","Luca TONI ","ITA"," 69'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","58","30 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"6",NA,NA,NA,"England - Portugal","0:0 a.e.t. 1:3 PSO","MatchDateTimeVenue / StadiumAttendance5901 July 2006 17:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","59","01 July 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"7","Thierry HENRY ","FRA"," 57'","Brazil - France","0:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6001 July 2006 21:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","60","01 July 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
