"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"24","Joe COLE ","ENG"," 34'","Sweden - England","2:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3520 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","35","20 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"25","Marcus ALLBACK ","SWE"," 51'","Sweden - England","2:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3520 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","35","20 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"26","Steven GERRARD ","ENG"," 85'","Sweden - England","2:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3520 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","35","20 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"27","Henrik LARSSON ","SWE"," 90'","Sweden - England","2:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3520 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","35","20 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"28","Brent SANCHO ","TRI"," 25' Own goal","Paraguay - Trinidad and Tobago","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance3620 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","36","20 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"29","Nelson CUEVAS ","PAR"," 86'","Paraguay - Trinidad and Tobago","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance3620 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","36","20 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"30","Hernan CRESPO ","ARG"," 24'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480","5","0 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg49480"
"31","Javier SAVIOLA ","ARG"," 38'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480","5","0 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg49480"
"32","Didier DROGBA ","CIV"," 82'","Argentina - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:0)","MatchDateTimeVenue / StadiumAttendance510 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg49480","5","0 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg49480"
"33","Arjen ROBBEN ","NED"," 18'","Serbia and Montenegro - Netherlands","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance611 June 2006 15:00Leipzig  / Red Bull Arena43000","6","1 June 2006"," ","Leipzig  / Red Bull Arena43000"
"34","Maxi RODRIGUEZ ","ARG"," 6'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"35","Esteban CAMBIASSO ","ARG"," 31'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"36","Maxi RODRIGUEZ ","ARG"," 41'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"37","Hernan CRESPO ","ARG"," 78'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"38","Carlos TEVEZ ","ARG"," 84'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"39","Lionel MESSI ","ARG"," 88'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","21","16 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"40","Robin VAN PERSIE ","NED"," 23'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","22","16 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"41","Ruud VAN NISTELROOIJ ","NED"," 27'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","22","16 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"42","Bakary KONE ","CIV"," 38'","Netherlands - C̫te d'Ivoire","̫te d'Ivoire2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance2216 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","22","16 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"43",NA,NA,NA,"Netherlands - Argentina","0:0","MatchDateTimeVenue / StadiumAttendance3721 June 2006 21:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","37","21 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"44","Nikola ZIGIC ","SCG"," 10'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"45"," ","SCG"," 20'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"46","Aruna DINDANE ","CIV"," 37' Penalty goal","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"47","Aruna DINDANE ","CIV"," 67'","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"48","Bonaventure KALOU ","CIV"," 86' Penalty goal","C̫te d'Ivoire - Serbia and Montenegro","3:2 (1:2)","MatchDateTimeVenue / StadiumAttendance3821 June 2006 21:00Munich  / Allianz Arena66000","38","21 June 2006"," ","Munich  / Allianz Arena66000"
"49","Omar BRAVO ","MEX"," 28'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"50","Yahya GOLMOHAMMADI ","IRN"," 36'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"51","Omar BRAVO ","MEX"," 76'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"52","ZINHA ","MEX"," 79'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"53","PAULETA ","POR"," 4'","Angola - Portugal","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance811 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","8","1 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"54",NA,NA,NA,"Mexico - Angola","0:0","MatchDateTimeVenue / StadiumAttendance2316 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","23","16 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"55","Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"56","Cristian ZACCARDO ","ITA"," 27' Own goal","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"57","MANICHE ","POR"," 6'","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","39","21 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"58","SIMAO ","POR"," 24' Penalty goal","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","39","21 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"59","Jose FONSECA ","MEX"," 29'","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","39","21 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"60","ABOU TARIKA ","ANG"," 60'","Iran - Angola","1:1 (0:0)","MatchDateTimeVenue / StadiumAttendance4021 June 2006 16:00Leipzig  / Red Bull Arena38000","40","21 June 2006"," ","Leipzig  / Red Bull Arena38000"
"61","Sohrab BAKHTIARIZADEH ","IRN"," 75'","Iran - Angola","1:1 (0:0)","MatchDateTimeVenue / StadiumAttendance4021 June 2006 16:00Leipzig  / Red Bull Arena38000","40","21 June 2006"," ","Leipzig  / Red Bull Arena38000"
"62","Andrea PIRLO ","ITA"," 40'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","9","2 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"63","Vincenzo IAQUINTA ","ITA"," 83'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","9","2 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"64","Jan KOLLER ","CZE"," 5'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","10","12 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"65","Tomas ROSICKY ","CZE"," 36'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","10","12 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"66","Tomas ROSICKY ","CZE"," 76'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","10","12 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"67","Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"68","Cristian ZACCARDO ","ITA"," 27' Own goal","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"69","Asamoah GYAN ","GHA"," 2'","Czech Republic - Ghana","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance2617 June 2006 18:00Cologne  / FIFA World Cup Stadium, Cologne45000","26","17 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"70","Sulley MUNTARI ","GHA"," 82'","Czech Republic - Ghana","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance2617 June 2006 18:00Cologne  / FIFA World Cup Stadium, Cologne45000","26","17 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"71","Marco MATERAZZI ","ITA"," 26'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","41","22 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"72","Filippo INZAGHI ","ITA"," 87'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","41","22 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"73","Haminu DRAMAN ","GHA"," 22'","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000","42","22 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"74","Clint DEMPSEY ","USA"," 43'","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000","42","22 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"75","Stephen APPIAH ","GHA"," 45'+2 Penalty goal","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000","42","22 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"76","KAKA ","BRA"," 44'","Brazil - Croatia","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1113 June 2006 21:00Berlin  / Olympiastadion72000","11","13 June 2006"," ","Berlin  / Olympiastadion72000"
"77","Shunsuke NAKAMURA ","JPN"," 26'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"78","Tim CAHILL ","AUS"," 84'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"79","Tim CAHILL ","AUS"," 89'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"80","John ALOISI ","AUS"," 90'+2","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"81","ADRIANO ","BRA"," 49'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000","27","18 June 2006"," ","Munich  / Allianz Arena66000"
"82","FRED ","BRA"," 90'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000","27","18 June 2006"," ","Munich  / Allianz Arena66000"
"83",NA,NA,NA,"Japan - Croatia","0:0","MatchDateTimeVenue / StadiumAttendance2818 June 2006 15:00Nuremberg  / easyCredit-Stadion41000","28","18 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"84","Keiji TAMADA ","JPN"," 34'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"85","RONALDO ","BRA"," 45'+1","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"86","JUNINHO PERNAMBUCANO ","BRA"," 53'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"87","GILBERTO MELO ","BRA"," 59'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"88","RONALDO ","BRA"," 81'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"89","Darijo SRNA ","CRO"," 2'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"90","Craig MOORE ","AUS"," 38' Penalty goal","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"91","Niko KOVAC ","CRO"," 56'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"92","Harry KEWELL ","AUS"," 79'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"93",NA,NA,NA,"France - Switzerland","0:0","MatchDateTimeVenue / StadiumAttendance1313 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","13","13 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"94",NA,NA,NA,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","14","13 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"95",NA,NA,NA,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","14","13 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"96",NA,NA,NA,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","14","13 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"97",NA,NA,NA,"France - Korea Republic","1:1 (1:0)","MatchDateTimeVenue / StadiumAttendance2918 June 2006 21:00Leipzig  / Red Bull Arena43000","29","18 June 2006"," ","Leipzig  / Red Bull Arena43000"
"98",NA,NA,NA,"France - Korea Republic","1:1 (1:0)","MatchDateTimeVenue / StadiumAttendance2918 June 2006 21:00Leipzig  / Red Bull Arena43000","29","18 June 2006"," ","Leipzig  / Red Bull Arena43000"
"99",NA,NA,NA,"Togo - Switzerland","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3019 June 2006 15:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","30","19 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"100",NA,NA,NA,"Togo - Switzerland","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3019 June 2006 15:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","30","19 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
